"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/08/2012","30/06/2013","Roque Santa Cruz","31","Málaga CF","Spain",31,"3,00 Mill. €  "," ","Manchester City"
"2","31/08/2012","08/01/2013","Dedryck Boyata","21","FC Twente","Netherlands",5,"2,00 Mill. €  "," ","Manchester City"
"3","15/02/2013","05/05/2013","Karim Rekik","18","Blackburn","England",5,"2,00 Mill. €  "," ","Manchester City"
"4","06/07/2012","31/05/2013","Wayne Bridge","31","Brighton","England",37,"1,50 Mill. €  "," ","Manchester City"
"5","07/01/2013","31/12/2013","Abdisalam Ibrahim","21","Strømsgodset","Norway",27,"800 Th. €  "," ","Manchester City"
"6","31/01/2013","30/06/2013","Mohammed Abu","21","FC Lorient","France",7,"750 Th. €  "," ","Manchester City"
"7","27/08/2012","30/01/2013","Mohammed Abu","20","Rayo Vallecano","Spain",1,"600 Th. €  "," ","Manchester City"
"8","01/08/2012","31/12/2012","Abdisalam Ibrahim","21","Strømsgodset","Norway",27,"500 Th. €  "," ","Manchester City"
"9","31/08/2012","31/05/2013","Ryan McGivern","22","Hibernian FC","Scotland",27,"500 Th. €  "," ","Manchester City"
"10","15/09/2012","28/01/2013","Reece Wabara","20","Oldham Athletic","England",25,"-  "," ","Manchester City"
"11","29/09/2012","29/10/2012","Abdul Razak","19","Charlton","England",2,"-  "," ","Manchester City"
"12","04/01/2013","31/05/2013","Adam Drury","19","Burton Albion","England",12,"-  "," ","Manchester City"
"13","10/01/2013","31/05/2013","Alex Nimely","21","Crystal Palace","England",2,"-  "," ","Manchester City"
"14","30/01/2013","08/03/2013","Reece Wabara","21","Blackpool","England",1,"-  "," ","Manchester City"
"15","07/03/2013","28/04/2013","Eirik Johansen","20","Scunthorpe Utd.","England",8,"-  "," ","Manchester City"
"16","26/07/2011","03/01/2012","Kieran Trippier","20","Burnley","England",46,"250 Th. €  "," ","Manchester City"
"17","28/08/2011","31/12/2011","Loris Karius","18","1.FSV Mainz 05","Germany",0,"200 Th. €  "," ","Manchester City"
"18","03/11/2011","22/01/2012","Luca Scapuzzi","20","Oldham Athletic","England",10,"100 Th. €  "," ","Manchester City"
"19","22/03/2012","19/04/2012","Luca Scapuzzi","20","Portsmouth","England",2,"100 Th. €  "," ","Manchester City"
"20","31/03/2011","31/12/2011","Omar Elabdellaoui","19","Strømsgodset","Norway",0,"50 Th. €  "," ","Manchester City"
"21","13/10/2011","14/11/2011","Jérémy Hélan","19","Carlisle United","England",2,"-  "," ","Manchester City"
"22","01/11/2011","01/12/2011","Andrea Mancini","19","Oldham Athletic","England",1,"-  "," ","Manchester City"
"23","04/11/2011","01/01/2012","Harry Bunn","18","Rochdale","England",6,"-  "," ","Manchester City"
"24","02/01/2012","15/03/2012","Harry Bunn","19","Preston NE","England",1,"-  "," ","Manchester City"
"25","01/01/2012","30/06/2012","Andrea Mancini","19","AJ Fano","Italy",0,"-  "," ","Manchester City"
"26","01/02/2012","01/05/2012","Gai Assulin","20","Brighton","England",7,"-  "," ","Manchester City"
"27","16/03/2012","31/05/2012","Harry Bunn","19","Oldham Athletic","England",11,"-  "," ","Manchester City"
"28","25/11/2011","02/01/2012","Chris Chantler","20","Carlisle United","England",12,"-  "," ","Manchester City"
